intervention_id,name,itype,source,organism,lifespan_effect_pct,linked_gene_ids,url,n_experiments
DRUGAGE:2r__1__1_benzofuran_2_yl__n_propylpentane_2_amine:rattus_norvegicus,(2R)-1-(1-benzofuran-2-yl)-N-propylpentane-2-amine,drug,DrugAge,Rattus norvegicus,14.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:iso_lappaol_a:caenorhabditis_elegans,(Iso)lappaol A,drug,DrugAge,Caenorhabditis elegans,11.2,,https://genomics.senescence.info/drugs/,1
DRUGAGE:r__2_hydroxyglutarate:caenorhabditis_elegans,(R)-2-hydroxyglutarate,drug,DrugAge,Caenorhabditis elegans,42.9,,https://genomics.senescence.info/drugs/,1
DRUGAGE:r_r__cis_diethyl_tetrahydro_2_8_chrysenediol:caenorhabditis_elegans,"(R,R)-cis-Diethyl tetrahydro-2,8-chrysenediol",drug,DrugAge,Caenorhabditis elegans,7.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:r_s__1_3_butanediol:mus_musculus,"(R/S)-1,3-butanediol",drug,ITP,Mus musculus,1.0,,https://genomics.senescence.info/drugs/,2
DRUGAGE:s__2_hydroxyglutarate:caenorhabditis_elegans,(S)-2-hydroxyglutarate,drug,DrugAge,Caenorhabditis elegans,31.8,,https://genomics.senescence.info/drugs/,1
DRUGAGE:1_2_3_triazolyl_ester_of_ketorolac:caenorhabditis_elegans,"1,2,3-Triazolyl ester of ketorolac",drug,DrugAge,Caenorhabditis elegans,15.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:1_2_4_triazolo_1_5_a_pyridine:caenorhabditis_elegans,"1,2,4-triazolo[1,5-a]pyridine",drug,DrugAge,Caenorhabditis elegans,12.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:1_3_dimemethyl_xan:caenorhabditis_elegans,"1,3-dimemethyl Xan",drug,DrugAge,Caenorhabditis elegans,5.54,,https://genomics.senescence.info/drugs/,1
DRUGAGE:1_7_dimethylxanthine:caenorhabditis_elegans,"1,7-dimethylxanthine",drug,DrugAge,Caenorhabditis elegans,14.75,,https://genomics.senescence.info/drugs/,1
DRUGAGE:1_methyl_nicotinamide:caenorhabditis_elegans,1-methyl nicotinamide,drug,DrugAge,Caenorhabditis elegans,7.7,,https://genomics.senescence.info/drugs/,1
DRUGAGE:1_methylxanthine:caenorhabditis_elegans,1-methylxanthine,drug,DrugAge,Caenorhabditis elegans,5.05,,https://genomics.senescence.info/drugs/,1
DRUGAGE:10_hydroxy_2_decenoic_acid:caenorhabditis_elegans,10-hydroxy-2-decenoic Acid,drug,DrugAge,Caenorhabditis elegans,10.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:16_17__epoxy_21_acetoxy_5_pregnenolone:caenorhabditis_elegans,16(17)-epoxy-21-acetoxy-5-pregnenolone,drug,DrugAge,Caenorhabditis elegans,-17.54,,https://genomics.senescence.info/drugs/,1
DRUGAGE:16_alpha_hydroxyestradiol:mus_musculus,16-alpha-hydroxyestradiol,drug,ITP,Mus musculus,4.0,,https://genomics.senescence.info/drugs/,2
DRUGAGE:17_dimethylaminoethylamino_17_demethoxygeldanamycin_hydrochloride:mus_musculus,17-dimethylaminoethylamino-17-demethoxygeldanamycin hydrochloride,drug,ITP,Mus musculus,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:17_alpha_estradiol:mus_musculus,17‐alpha‐estradiol,drug,ITP,Mus musculus,15.5,,https://genomics.senescence.info/drugs/,6
DRUGAGE:18α_glycyrrhetinic_acid:caenorhabditis_elegans,18α-Glycyrrhetinic acid,drug,DrugAge,Caenorhabditis elegans,16.88,,https://genomics.senescence.info/drugs/,3
DRUGAGE:2_2__diaminodiethyl_disulfide_dihydrochloride:mus_musculus,"2,2'-diaminodiethyl disulfide dihydrochloride",drug,DrugAge,Mus musculus,,,https://genomics.senescence.info/drugs/,3
DRUGAGE:2_3_dehydrosilybin_a:caenorhabditis_elegans,"2,3-Dehydrosilybin A",drug,DrugAge,Caenorhabditis elegans,12.55,,https://genomics.senescence.info/drugs/,1
