gene_id,study_id,omic_layer,species,tissue,sex,age_range,effect_size,direction,p_value,q_value,standard_error,source
ENSG00000147889,GEO:GSE90001,transcriptome,human,blood,male,3m_vs_24m,1.0622,up,0.002918,0.004377,0.3569,GEO
ENSG00000147889,GEO:GSE90002,transcriptome,human,blood,female,young_vs_old,0.8411,up,0.045046,0.067569,0.4196,GEO
ENSG00000147889,GEO:GSE90003,transcriptome,human,blood,female,3m_vs_24m,1.4209,up,0.000105,0.000158,0.3664,GEO
ENSG00000147889,GEO:GSE90004,transcriptome,human,brain,both,20-80,1.4221,up,0.000539,0.000809,0.411,GEO
ENSG00000147889,GEO:GSE90005,transcriptome,human,brain,both,20-80,1.2221,up,0.00071,0.001065,0.361,GEO
ENSG00000147889,GEO:GSE90006,transcriptome,human,brain,male,20-80,1.2731,up,0.001774,0.002661,0.4073,GEO
ENSG00000147889,GEO:GSE90007,transcriptome,human,muscle,both,3m_vs_24m,1.2856,up,0.003457,0.005185,0.4397,GEO
ENSG00000147889,GEO:GSE90008,transcriptome,human,muscle,female,young_vs_old,1.2427,up,0.00413,0.006195,0.4333,GEO
ENSG00000147889,GEO:GSE90009,transcriptome,human,muscle,both,20-80,1.1996,up,0.015226,0.02284,0.4943,GEO
ENSMUSG00000044303,GEO:GSE90010,transcriptome,mouse,blood,male,young_vs_old,1.0848,up,0.013384,0.020076,0.4386,GEO
ENSMUSG00000044303,GEO:GSE90011,transcriptome,mouse,blood,both,young_vs_old,1.2262,up,0.000201,0.000301,0.3298,GEO
ENSMUSG00000044303,GEO:GSE90012,transcriptome,mouse,blood,male,20-80,1.2493,up,0.00219,0.003284,0.4078,GEO
ENSMUSG00000044303,GEO:GSE90013,transcriptome,mouse,brain,male,young_vs_old,1.0912,up,0.004806,0.007208,0.387,GEO
ENSMUSG00000044303,GEO:GSE90014,transcriptome,mouse,brain,male,young_vs_old,1.2471,up,0.00013,0.000195,0.3259,GEO
ENSMUSG00000044303,GEO:GSE90015,transcriptome,mouse,brain,male,20-80,1.2492,up,0.001502,0.002253,0.3935,GEO
ENSMUSG00000044303,GEO:GSE90016,transcriptome,mouse,muscle,male,young_vs_old,0.7681,up,0.017727,0.02659,0.3239,GEO
ENSMUSG00000044303,GEO:GSE90017,transcriptome,mouse,muscle,female,young_vs_old,1.105,up,0.010559,0.015839,0.4322,GEO
ENSMUSG00000044303,GEO:GSE90018,transcriptome,mouse,muscle,male,3m_vs_24m,0.9185,up,0.07215,0.108225,0.5108,GEO
ENSG00000147889,GEO:GSE90019,methylome,human,blood,female,3m_vs_24m,0.6634,up,0.05616,0.084239,0.3474,GEO
ENSG00000147889,GEO:GSE90020,methylome,human,blood,female,young_vs_old,0.724,up,0.046305,0.069457,0.3633,GEO
ENSG00000124762,GEO:GSE90021,transcriptome,human,blood,female,3m_vs_24m,0.849,up,0.039904,0.059856,0.4132,GEO
ENSG00000124762,GEO:GSE90022,transcriptome,human,blood,both,young_vs_old,0.9694,up,0.018317,0.027475,0.4109,GEO
ENSG00000124762,GEO:GSE90023,transcriptome,human,blood,both,young_vs_old,1.3002,up,0.001241,0.001861,0.4026,GEO
ENSG00000124762,GEO:GSE90024,transcriptome,human,brain,male,20-80,0.7393,up,0.013914,0.02087,0.3006,GEO
ENSG00000124762,GEO:GSE90025,transcriptome,human,brain,both,20-80,0.8828,up,0.006541,0.009811,0.3246,GEO
ENSG00000124762,GEO:GSE90026,transcriptome,human,brain,female,20-80,1.1035,up,0.001165,0.001748,0.3398,GEO
ENSG00000124762,GEO:GSE90027,transcriptome,human,muscle,both,20-80,0.8639,up,0.015476,0.023215,0.3568,GEO
ENSG00000124762,GEO:GSE90028,transcriptome,human,muscle,female,young_vs_old,0.7394,up,0.089143,0.133714,0.4349,GEO
ENSG00000124762,GEO:GSE90029,transcriptome,human,muscle,male,young_vs_old,1.0737,up,0.00177,0.002656,0.3434,GEO
ENSMUSG00000023067,GEO:GSE90030,transcriptome,mouse,blood,female,3m_vs_24m,0.7859,up,0.004631,0.006947,0.2776,GEO
ENSMUSG00000023067,GEO:GSE90031,transcriptome,mouse,blood,male,young_vs_old,0.7333,up,0.012146,0.018218,0.2924,GEO
ENSMUSG00000023067,GEO:GSE90032,transcriptome,mouse,blood,female,20-80,0.833,up,0.022004,0.033007,0.3637,GEO
ENSMUSG00000023067,GEO:GSE90033,transcriptome,mouse,brain,both,3m_vs_24m,1.0522,up,0.001458,0.002187,0.3306,GEO
ENSMUSG00000023067,GEO:GSE90034,transcriptome,mouse,brain,male,20-80,0.7832,up,0.010453,0.01568,0.3059,GEO
ENSMUSG00000023067,GEO:GSE90035,transcriptome,mouse,brain,male,20-80,0.5395,up,0.09507,0.142604,0.3232,GEO
ENSMUSG00000023067,GEO:GSE90036,transcriptome,mouse,muscle,both,20-80,0.9031,up,0.009961,0.014941,0.3504,GEO
ENSMUSG00000023067,GEO:GSE90037,transcriptome,mouse,muscle,male,young_vs_old,1.1149,up,0.00012,0.00018,0.2899,GEO
ENSMUSG00000023067,GEO:GSE90038,transcriptome,mouse,muscle,male,young_vs_old,0.9171,up,0.013843,0.020764,0.3726,GEO
ENSG00000113368,GEO:GSE90039,transcriptome,human,blood,female,young_vs_old,-0.9497,down,0.01916,0.02874,0.4054,GEO
ENSG00000113368,GEO:GSE90040,transcriptome,human,blood,male,3m_vs_24m,-1.0673,down,0.005033,0.00755,0.3805,GEO
ENSG00000113368,GEO:GSE90041,transcriptome,human,blood,both,young_vs_old,-0.983,down,0.016148,0.024222,0.4086,GEO
ENSG00000113368,GEO:GSE90042,transcriptome,human,brain,female,young_vs_old,-1.0129,down,0.010008,0.015012,0.3933,GEO
ENSG00000113368,GEO:GSE90043,transcriptome,human,brain,both,young_vs_old,-0.9035,down,0.001927,0.002891,0.2914,GEO
ENSG00000113368,GEO:GSE90044,transcriptome,human,brain,male,young_vs_old,-1.1591,down,0.000111,0.000167,0.2999,GEO
ENSG00000113368,GEO:GSE90045,transcriptome,human,muscle,female,3m_vs_24m,-0.8023,down,0.008921,0.013381,0.3068,GEO
ENSG00000113368,GEO:GSE90046,transcriptome,human,muscle,female,20-80,-1.0191,down,0.001252,0.001878,0.3158,GEO
ENSG00000113368,GEO:GSE90047,transcriptome,human,muscle,female,3m_vs_24m,-1.0422,down,0.028983,0.043475,0.4773,GEO
ENSMUSG00000024590,GEO:GSE90048,transcriptome,mouse,blood,both,3m_vs_24m,-0.9283,down,0.002998,0.004497,0.3128,GEO
ENSMUSG00000024590,GEO:GSE90049,transcriptome,mouse,blood,female,3m_vs_24m,-0.739,down,0.042116,0.063173,0.3636,GEO
ENSMUSG00000024590,GEO:GSE90050,transcriptome,mouse,blood,female,20-80,-1.038,down,0.004749,0.007124,0.3676,GEO
ENSMUSG00000024590,GEO:GSE90051,transcriptome,mouse,brain,female,3m_vs_24m,-0.8963,down,0.029665,0.044497,0.4122,GEO
ENSMUSG00000024590,GEO:GSE90052,transcriptome,mouse,brain,female,3m_vs_24m,-1.0493,down,0.00214,0.00321,0.3418,GEO
ENSMUSG00000024590,GEO:GSE90053,transcriptome,mouse,brain,male,20-80,-0.9455,down,0.012922,0.019382,0.3804,GEO
