study_id,source,omic_layer,species,tissue,sample_size,processing_method,license,url,version,series_id,platform,pubmed_id,n_young,n_old,age_range,sex,restrictions
GEO:GDS156,GEO,transcriptome,human,skeletal muscle,12,GDS curated matrix (count); MaxMean probe collapse; Hedges' g,"NCBI GEO - US public domain, attribute",https://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS156,"GEO DataSets, curated Apr 17 2003",GSE80,GPL91,12204100,6,6,26y vs 70y,unspecified,
GEO:GDS1803,GEO,transcriptome,mouse,bone marrow,8,GDS curated matrix (count); MaxMean probe collapse; Hedges' g,"NCBI GEO - US public domain, attribute",https://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS1803,"GEO DataSets, curated Oct 13 2006",GSE4332,GPL1261,15967997,3,5,2mo vs 22mo,unspecified,
GEO:GDS2019,GEO,transcriptome,mouse,liver,7,GDS curated matrix (count); MaxMean probe collapse; Hedges' g,"NCBI GEO - US public domain, attribute",https://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2019,"GEO DataSets, curated Oct 10 2012",GSE3129,GPL81,19943135,4,3,6mo vs 22mo,unspecified,genotype/variation = wild type
GEO:GDS2612,GEO,transcriptome,mouse,skeletal muscle,10,GDS curated matrix (count); MaxMean probe collapse; Hedges' g,"NCBI GEO - US public domain, attribute",https://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2612,"GEO DataSets, curated Apr 10 2007",GSE6323,GPL339,17381838,5,5,young vs old,unspecified,protocol = normal diet
GEO:GDS287,GEO,transcriptome,human,skeletal muscle,15,GDS curated matrix (count); MaxMean probe collapse; Hedges' g,"NCBI GEO - US public domain, attribute",https://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS287,"GEO DataSets, curated Nov 02 2004",GSE362,GPL96,12783983,7,8,24y vs 71y,unspecified,
GEO:GDS288,GEO,transcriptome,human,skeletal muscle,15,GDS curated matrix (count); MaxMean probe collapse; Hedges' g,"NCBI GEO - US public domain, attribute",https://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS288,"GEO DataSets, curated Nov 02 2004",GSE362,GPL97,12783983,7,8,24y vs 71y,unspecified,
GEO:GDS2929,GEO,transcriptome,mouse,lung,15,GDS curated matrix (count); MaxMean probe collapse; Hedges' g,"NCBI GEO - US public domain, attribute",https://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2929,"GEO DataSets, curated Jun 25 2008",GSE6591,GPL1261,17726092,6,9,2mo vs 18mo-26mo,unspecified,
GEO:GDS2961,GEO,transcriptome,mouse,thymus,20,GDS curated matrix (transformed count); MaxMean probe collapse; Hedges' g,"NCBI GEO - US public domain, attribute",https://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2961,"GEO DataSets, curated Jan 04 2008",GSE7829,GPL738,17499630,10,10,6mo vs 22mo-24mo,both,protocol = ad libitum
GEO:GDS2962,GEO,transcriptome,mouse,thymus,20,GDS curated matrix (transformed count); MaxMean probe collapse; Hedges' g,"NCBI GEO - US public domain, attribute",https://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2962,"GEO DataSets, curated May 14 2015",GSE7829,GPL782,17499630,10,10,6mo vs 22mo-24mo,both,protocol = ad libitum
GEO:GDS2972,GEO,transcriptome,mouse,heart,10,GDS curated matrix (count); MaxMean probe collapse; Hedges' g,"NCBI GEO - US public domain, attribute",https://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2972,"GEO DataSets, curated Oct 10 2012",GSE8146,GPL81,17316780,5,5,5mo vs 30mo,unspecified,agent = control
GEO:GDS2973,GEO,transcriptome,mouse,brain,10,GDS curated matrix (count); MaxMean probe collapse; Hedges' g,"NCBI GEO - US public domain, attribute",https://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2973,"GEO DataSets, curated Oct 03 2008",GSE8150,GPL1261,17316780,5,5,5mo vs 30mo,unspecified,agent = control
GEO:GDS3182,GEO,transcriptome,human,skeletal muscle,19,GDS curated matrix (count); MaxMean probe collapse; Hedges' g,"NCBI GEO - US public domain, attribute",https://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS3182,"GEO DataSets, curated Aug 22 2008",GSE9103,GPL570,,9,10,young vs old,unspecified,protocol = sedentary
GEO:GDS355,GEO,transcriptome,mouse,kidney,10,GDS curated matrix (count); MaxMean probe collapse; Hedges' g,"NCBI GEO - US public domain, attribute",https://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS355,"GEO DataSets, curated Jun 23 2003",GSE459,GPL75,,5,5,5mo vs 30mo,unspecified,protocol = control fed
GEO:GDS356,GEO,transcriptome,mouse,kidney,10,GDS curated matrix (count); MaxMean probe collapse; Hedges' g,"NCBI GEO - US public domain, attribute",https://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS356,"GEO DataSets, curated Jun 23 2003",GSE459,GPL76,,5,5,5mo vs 30mo,unspecified,protocol = control fed
